Name,Instance Count,Size (bytes)
byte[ ],45044,3776888
java.lang.String,39113,938712
java.util.HashMap$Node,14358,459456
java.util.concurrent.ConcurrentHashMap$Node,11169,357408
java.lang.reflect.Method,5342,470096
java.lang.Object,4694,75104
java.lang.Class[ ],4598,102552
java.lang.Object[ ],4536,291968
java.lang.Class,3950,480728
java.lang.StringBuilder,1810,43440
java.lang.String[ ],1746,76016
java.util.ArrayList$Itr,1571,50272
sun.util.locale.LocaleObjectCache$CacheEntry,1564,62560
int[ ],1445,685984
java.util.LinkedHashMap$Entry,1413,56520
java.lang.ref.SoftReference,1366,54640
java.util.HashMap,1043,50064
org.apache.tomcat.util.modeler.AttributeInfo,934,44832
java.util.HashMap$Node[ ],887,171696
java.util.Hashtable$Entry,872,27904
java.util.Locale,800,25600
sun.util.locale.BaseLocale,799,25568
sun.util.locale.BaseLocale$Key,780,24960
java.lang.invoke.MemberName,778,37344
char[ ],735,613256
java.lang.reflect.Field,668,48096
java.lang.invoke.LambdaForm$Name,653,20896
javax.management.MBeanAttributeInfo,603,19296
java.lang.invoke.ResolvedMethodName,596,14304
java.util.ArrayList,581,13944
java.lang.invoke.MethodType$ConcurrentWeakInternSet$WeakEntry,528,16896
java.lang.invoke.MethodType,509,20360
java.util.concurrent.locks.ReentrantReadWriteLock,470,11280
java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock,470,7520
java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter,470,7520
java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock,470,7520
java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync,469,22512
java.util.concurrent.ConcurrentHashMap,457,29248
java.lang.Class$ReflectionData,441,28224
java.util.LinkedList$Node,411,9864
java.io.File,401,12832
java.lang.ref.WeakReference,367,11744
java.lang.management.MemoryUsage,360,17280
java.lang.module.ModuleDescriptor$Exports,356,8544
org.apache.tomcat.util.modeler.OperationInfo,339,16272
org.apache.tomcat.util.modeler.ParameterInfo[ ],339,7000
java.lang.reflect.Method[ ],331,43304
java.util.jar.JarFile$JarFileEntry,327,31392
java.time.LocalTime,310,7440
sun.util.calendar.ZoneInfo,306,17136
java.util.concurrent.ConcurrentHashMap$MapEntry,302,7248
java.util.HashSet,301,4816
javax.management.MBeanOperationInfo,301,12040
java.time.LocalDateTime,298,7152
org.apache.catalina.webresources.EmptyResource,297,7128
java.time.LocalDate,296,7104
java.util.concurrent.CopyOnWriteArrayList,294,7056
java.util.TreeMap$Entry,293,11720
java.lang.Integer,291,4656
java.util.ImmutableCollections$Set12,291,6984
org.apache.catalina.webresources.JarResource,283,15848
java.util.Hashtable$Entry[ ],282,20080
java.util.Hashtable,281,13488
java.lang.Long,277,6648
java.lang.reflect.Constructor,274,19728
java.lang.ref.ReferenceQueue$Lock,270,4320
java.lang.ref.ReferenceQueue,268,8576
java.util.logging.LogManager$LoggerWeakRef,266,12768
javax.management.ImmutableDescriptor,255,6120
javax.management.MBeanParameterInfo,255,8160
java.util.Vector,247,7904
sun.security.util.KnownOIDs,247,7904
com.jprofiler.agent.triggers.nanoxml.XMLElement,245,11760
java.util.concurrent.atomic.AtomicInteger,245,3920
java.lang.ref.SoftReference[ ],244,16592
org.apache.tomcat.util.modeler.ParameterInfo,238,7616
java.util.concurrent.locks.ReentrantLock$NonfairSync,226,7232
java.lang.reflect.Constructor[ ],225,5296
javax.management.ObjectName$Property,215,5160
java.lang.invoke.LambdaForm$NamedFunction,208,6656
java.util.concurrent.ConcurrentHashMap$Node[ ],198,137024
com.sun.org.apache.xerces.internal.xni.QName,196,6272
javax.management.MBeanParameterInfo[ ],192,4760
java.util.logging.LogManager$LogNode,184,5888
jdk.internal.reflect.DelegatingConstructorAccessorImpl,183,2928
jdk.internal.reflect.NativeConstructorAccessorImpl,176,4224
jdk.internal.module.ServicesCatalog$ServiceProvider,170,4080
java.lang.invoke.DirectMethodHandle,169,5408
java.util.ImmutableCollections$SetN,169,4056
javax.management.ObjectName$Property[ ],167,4752
com.sun.jmx.mbeanserver.MXBeanMapping[ ],166,3320
com.jprofiler.agent.util.a.a.b.h$m,160,10240
java.util.concurrent.atomic.AtomicReferenceArray,160,2560
java.util.Collections$UnmodifiableSet,157,2512
com.sun.jmx.mbeanserver.ConvertingMethod,155,4960
java.lang.invoke.MethodTypeForm,149,4768
java.util.WeakHashMap$Entry,148,5920
org.apache.juli.logging.DirectJDKLog,142,2272
java.lang.invoke.LambdaForm$Name[ ],141,7240
java.util.ImmutableCollections$List12,140,3360
java.util.concurrent.ConcurrentHashMap$KeyIterator,137,7672
java.lang.invoke.LambdaForm,136,6528
com.jprofiler.agent.probe.structures.n,135,6480
java.util.HashMap$Values,133,2128
java.lang.module.ModuleDescriptor$Requires,130,4160
java.util.logging.Logger$ConfigurationData,128,5120
java.util.logging.Logger,127,7112
jdk.internal.ref.CleanerImpl$PhantomCleanableRef,125,6000
java.lang.Module,108,6048
java.net.URL,105,6720
java.util.ResourceBundle$KeyElementReference,104,3328
char[ ][ ],103,2472
java.util.jar.Attributes$Name,102,2448
jdk.internal.reflect.DelegatingMethodAccessorImpl,102,1632
java.security.Provider$ServiceKey,98,2352
org.apache.tomcat.util.digester.CallMethodRule,95,4560
java.util.LinkedHashMap,93,5208
java.util.Collections$UnmodifiableCollection$1,91,2184
javax.management.MBeanAttributeInfo[ ],91,5688
javax.management.MBeanInfo,91,4368
java.math.BigInteger,90,3600
java.lang.Package,89,2848
java.io.ObjectStreamField,88,3520
javax.management.ObjectName,84,2688
java.lang.invoke.BoundMethodHandle$Species_L,83,2656
javax.management.MBeanOperationInfo[ ],82,3216
java.lang.reflect.Field[ ],81,5448
com.sun.jmx.mbeanserver.NamedObject,80,1920
java.util.WeakHashMap$Entry[ ],80,7488
jdk.internal.reflect.NativeMethodAccessorImpl,80,1920
com.sun.management.internal.DiagnosticCommandArgumentInfo,79,3160
org.apache.tomcat.util.buf.ByteChunk,76,3648
java.util.WeakHashMap,75,3600
long[ ],74,10944
java.lang.Package$VersionInfo,73,2920
com.jprofiler.agent.util.a.b.z,71,5112
com.sun.org.apache.xerces.internal.util.SymbolTable$Entry,71,1704
java.net.URI,70,5600
java.security.Principal[ ],70,1120
java.security.ProtectionDomain,70,2800
java.security.ProtectionDomain$Key,70,1120
org.apache.tomcat.util.modeler.ManagedBean,70,3920
org.apache.tomcat.util.modeler.NotificationInfo[ ],70,1120
java.lang.invoke.DirectMethodHandle$Accessor,68,2720
java.security.CodeSource,68,2720
org.apache.tomcat.util.buf.CharChunk,68,3264
org.apache.tomcat.util.buf.MessageBytes,67,3216
com.sun.jmx.mbeanserver.PerInterface$MethodAndSig,66,1584
java.lang.invoke.LambdaForm$Kind,66,2112
java.util.HashMap$KeySet,66,1056
java.util.concurrent.locks.ReentrantLock,66,1056
org.apache.catalina.loader.ResourceEntry,64,1536
sun.net.www.MimeEntry,64,3072
java.lang.module.ModuleDescriptor,62,3968
sun.nio.fs.WindowsPath,62,2480
java.lang.module.ResolvedModule,61,1464
java.util.zip.Inflater,61,3904
java.util.zip.Inflater$InflaterZStreamRef,61,1464
jdk.internal.module.ModuleReferenceImpl,61,3416
jdk.internal.module.SystemModuleFinders$2,61,1464
jdk.internal.module.SystemModuleFinders$SystemModuleReader,61,1464
java.lang.invoke.DirectMethodHandle$Constructor,60,2400
jdk.internal.loader.BuiltinClassLoader$LoadedModule,60,1920
java.io.FileDescriptor,59,2360
java.util.ArrayDeque,59,1416
